ID,Brand,Name,Original Price,Price,Category
21462923,Reclaimed vintage,Голубые выбеленные широкие джинсы клеш Reclaimed Vintage inspired The '86,2990,2990,Джинсы
21449758,Asos design,Выбеленные черные джинсы прямого кроя в стиле 90-х ASOS DESIGN Tall,3090,3090,Джинсы
21447582,Reclaimed vintage,Голубые джинсы в винтажном стиле с большими рваными вырезами Reclaimed Vintage inspired The '91,2990,2990,Джинсы
21444547,Asos design,Черные боксеры-брифы с эластичной лентой ASOS DESIGN Naya,790,790,Боксеры
21444514,Asos design,Серые меланжевые базовые джоггеры из органического хлопка с завязкой ASOS DESIGN Tall,1790,1790,Джоггеры
21442879,Asos design,Черные леггинсы с завышенной талией ASOS DESIGN Petite,790,790,Леггинсы
21442438,Asos design,Черное плиссированное платье-рубашка миди с вышивкой на рукавах ASOS DESIGN,4590,4590,Платье
21441611,Asos design,Темно-зеленое свободное плиссированное платье мини из ткани добби с полоской «в елочку» ASOS DESIGN Maternity,3390,3390,Платье
21441298,Asos design,Черный бралетт с мягкими чашечками и эластичной фиксирующей лентой ASOS DESIGN Naya,1390,1390,Бралетт
21430724,Asos 4505,Лонгслив для занятий йогой ASOS 4505 Petite,1390,1390,Лонгслив
21426910,Asos design,Платье бэби-долл цвета индиго ASOS DESIGN,3390,3390,Платье
21422648,Asos design,Укороченная атласная футболка светло-бежевого цвета ASOS DESIGN,1790,1790,Футболка
21421067,Asos design,Свободный топ из хлопка со звериным принтом ASOS DESIGN,2390,2390,Топ
21419190,Asos design,Эксклюзивный топ в горошек из присборенной сетки с квадратным вырезом и длинными рукавами ASOS DESIGN Tall,2190,2190,Топ
21398017,River island,Черное приталенное платье-майка миди River Island,2190,2190,Платье
21397449,Asos design,Ярко-синее с выбеленным эффектом джинсовое платье мини с воротником со сборками ASOS DESIGN,4390,4390,Платье
21392070,Asos design,Красное свободное укороченное поло с длинными рукавами ASOS DESIGN,1490,1490,Поло
21392061,Asos design,Зеленый свитшот в стиле oversized с принтом leisure club ASOS DESIGN,2190,2190,Свитшот
21389256,Asos design,Черное ярусное платье миди с принтом в сетку ASOS DESIGN,3090,3090,Платье
21384587,Asos design,Платье мини с прозрачной кокеткой и жаккардовым цветочным принтом ASOS DESIGN,4590,4590,Платье
21371243,Collusion,Черный топ с открытыми плечами и декоративным разрезом COLLUSION disco,1090,1090,Топ
21365843,Glamorous,Юбка миди с крупным цветочным принтом Glamorous,3090,3090,Юбка
21364716,Asos design,"Платье мини с запахом, оборкой на воротнике и по нижнему краю и принтом ромашек на черном фоне ASOS DESIGN Curve",2690,2690,Платье
21362626,Asos 4505,Леггинсы с поясом ASOS 4505,1790,1790,Леггинсы
21359581,Asos design,Зеленое свободное платье мини с присборенной юбкой и перекрученным передом в цветочном принте ASOS DESIGN,2390,2390,Платье
21356586,Jaded rose,Черное эксклюзивное платье мидакси с драпировкой Jaded Rose Plus,4690,4690,Платье
21356044,Jaded rose,Эксклюзивное черное бархатное платье макси с открытой спиной и перчатками Jaded Rose,6790,6790,Платье
21355752,Jaded rose,Эксклюзивное короткое платье мини А-силуэта с глубоким вырезом на спине и отделкой пайетками с шевронным узором Jaded Rose,7190,7190,Платье
21345689,Asos design,Спортивный костюм оверсайз свитшот/джоггеры ASOS DESIGN с мелким лавандовым принтом,3690,3690,Джоггеры
21343787,Asos design,Свободное платье мини с присборенной юбкой и воротником с рюшами в сплошном леопардовом принте ASOS DESIGN,2690,2690,Платье
21343785,Asos design,"Черное свободное платье мини с присборенной юбкой, оборкой по нижнему краю и завязкой у ворота в цветочном принте ASOS DESIGN",2690,2690,Платье
21331611,Dickies,Пуховик черного цвета Dickies Rodessa,12990,12990,Пуховик
21331264,Dickies,Укороченная рубашка ярко-оранжевого цвета Dickies Silver Grove,4790,4790,Рубашка
21324039,Monki,Бежевый хлопковый свитшот с воротником Monki Selma,2890,2890,Свитшот
21318950,New look,Уютная oversized-рубашка в белую клетку с начесом New Look,2290,2290,Рубашка
21318614,Glamorous,Ярусное свободное платье мини с завязкой на горловине и черно-белым цветочным принтом Glamorous Curve,3690,3690,Платье
21317376,Glamorous,Трикотажное платье-джемпер с овальным вырезом на спине и кружевной отделкой Glamorous Curve,2890,2890,Джемпер
21317042,New look,Бежевые джоггеры с широкими штанинами New Look,1590,1590,Джоггеры
21316841,New look,Черные леггинсы с молниями New Look,1590,1590,Леггинсы
21316459,New look,Топ рыжего цвета в рубчик с отворачивающимся воротником New Look,890,890,Топ
21314001,Reclaimed vintage,Джинсы в винтажном стиле с завышенной талией в оттенке выбеленный индиго Reclaimed Vintage inspired The '87,2990,2990,Джинсы
21313538,New look,Темно-серый пуховик из искусственного меха New Look,3890,3890,Пуховик
21308487,Bershka,Серая вязаная майка от комплекта-двойки Bershka,1299,1299,Комплект
21286798,Asos design,Oversized​​​​​​​-платье мини цвета слоновой кости ASOS DESIGN,2690,2690,Платье
21275121,Reclaimed vintage,Полосатая футболка с логотипом Reclaimed Vintage inspired,1890,1890,Футболка
21249826,Asos design,Футболка в стиле oversized фиолетового цвета ASOS DESIGN Maternity,990,990,Футболка
21245224,Asos design,Черное жаккардовое платье мини в стиле бэби-долл с полупрозрачной кокеткой ASOS DESIGN,4390,4390,Платье
21220167,Missguided,Серый расклешенный комбинезон с короткими рукавами Missguided,2690,2690,Комбинезон
21201809,Russell athletic,Кроп-топ цвета хаки в рубчик Russell Athletic,2890,2890,Топ
21199882,Asos design,Красный кружевной бюстгальтер с оборками ASOS DESIGN,1590,1590,Бюстгальтер
21183679,Reclaimed vintage,Джинсы в рубчик в винтажном стиле шалфейно-зеленого выбеленного цвета Reclaimed Vintage The '91,2990,2990,Джинсы
21176679,Asos design,Красное чайное платье мини с контрастными полосками и цветочным принтом ASOS DESIGN,3090,3090,Платье
21166901,Asos design,Красные кружевные стринги с оборкой ASOS DESIGN Callie,990,990,Стринги
21166672,Lab,Эксклюзивная юбка мидакси контрастного розового и красного цвета с разрезом и отделкой пайетками Collective the Label,4390,4390,Юбка
21166053,Collective the label,Эксклюзивное свободное платье мини черного цвета с бантами из органзы на плечах Collective The Label,5290,5290,Платье
21162177,Asos design,Серые меланжевые трикотажные прямые брюки от комплекта ASOS DESIGN,2690,2690,Брюки
